entidad,relacion,objetos,pregunta,respuestas,obtenido_de
Director supremo de las Provincias Unidas del Río de la Plata,aplica a la jurisdicción,['Provincias Unidas del Río de la Plata'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Director supremo de las Provincias Unidas del Río de la Plata?,['Provincias Unidas del Río de la Plata'],['argentina']
Gobernador de Antioquia,aplica a la jurisdicción,['Antioquia'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Gobernador de Antioquia?,['Antioquia'],['colombia']
Gobernador de Cesar,aplica a la jurisdicción,['Cesar'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Gobernador de Cesar?,['Cesar'],['colombia']
Gobernador del Departamento de Ahuachapán,aplica a la jurisdicción,['Departamento de Ahuachapán'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Gobernador del Departamento de Ahuachapán?,['Departamento de Ahuachapán'],['el_salvador']
Gobernador del Departamento de Usulután,aplica a la jurisdicción,['Departamento de Usulután'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Gobernador del Departamento de Usulután?,['Departamento de Usulután'],['el_salvador']
Junta Militar,aplica a la jurisdicción,['Argentina'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Junta Militar?,['Argentina'],['argentina']
Miembro De La Cámara De Diputados De La República Dominicana,aplica a la jurisdicción,['República Dominicana'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Miembro De La Cámara De Diputados De La República Dominicana?,['República Dominicana'],['republica_dominicana']
Ministerio de Relaciones Exteriores de Colombia,aplica a la jurisdicción,['Colombia'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministerio de Relaciones Exteriores de Colombia?,['Colombia'],['colombia']
Ministerio de Relaciones Exteriores de Guatemala,aplica a la jurisdicción,['Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministerio de Relaciones Exteriores de Guatemala?,['Guatemala'],['guatemala']
Ministerio de Salud de Costa Rica,aplica a la jurisdicción,['Costa Rica'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministerio de Salud de Costa Rica?,['Costa Rica'],['costa_rica']
Ministra de la Mujer y Poblaciones Vulnerables de Perú,aplica a la jurisdicción,['Perú'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministra de la Mujer y Poblaciones Vulnerables de Perú?,['Perú'],['peru']
"Ministro de Agricultura, Ganadería y Alimentación de Guatemala",aplica a la jurisdicción,['Guatemala'],"Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Agricultura, Ganadería y Alimentación de Guatemala?",['Guatemala'],['guatemala']
Ministro de Ambiente y Recursos Naturales de Guatemala,aplica a la jurisdicción,['Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Ambiente y Recursos Naturales de Guatemala?,['Guatemala'],['guatemala']
"Ministro de Comunicaciones, Infraestructura y Vivienda",aplica a la jurisdicción,['Guatemala'],"Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Comunicaciones, Infraestructura y Vivienda?",['Guatemala'],['guatemala']
Ministro de Cultura de Colombia,aplica a la jurisdicción,['Colombia'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Cultura de Colombia?,['Colombia'],['colombia']
Ministro de Desarrollo Social de Guatemala,aplica a la jurisdicción,['Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Desarrollo Social de Guatemala?,['Guatemala'],['guatemala']
Ministro de Educación de Guatemala,aplica a la jurisdicción,['Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Educación de Guatemala?,['Guatemala'],['guatemala']
Ministro de Finanzas Públicas,aplica a la jurisdicción,['Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Finanzas Públicas?,['Guatemala'],['guatemala']
Ministro de Gobernación de Guatemala,aplica a la jurisdicción,['Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Gobernación de Guatemala?,['Guatemala'],['guatemala']
Ministro de Instrucción Pública,aplica a la jurisdicción,['El Salvador'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Instrucción Pública?,['El Salvador'],['el_salvador']
Ministro de Relaciones Exteriores de Panamá,aplica a la jurisdicción,['Panamá'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Relaciones Exteriores de Panamá?,['Panamá'],['panama']
Ministro de Relaciones Exteriores,aplica a la jurisdicción,['Honduras'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Relaciones Exteriores?,['Honduras'],['honduras']
Ministro de Salud Pública y Asistencia Social,aplica a la jurisdicción,['Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Salud Pública y Asistencia Social?,['Guatemala'],['guatemala']
Ministro de Seguridad Pública de Panamá,aplica a la jurisdicción,['Panamá'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Ministro de Seguridad Pública de Panamá?,['Panamá'],['panama']
Primera dama de Panamá,aplica a la jurisdicción,['Panamá'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Primera dama de Panamá?,['Panamá'],['panama']
Protector de la Confederación Perú-Boliviana,aplica a la jurisdicción,['Confederación Perú-Boliviana'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Protector de la Confederación Perú-Boliviana?,['Confederación Perú-Boliviana'],['peru']
Secretario de Comercio de los Estados Unidos,aplica a la jurisdicción,['Estados Unidos'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Secretario de Comercio de los Estados Unidos?,['Estados Unidos'],['cuba']
Vicepresidente de Colombia,aplica a la jurisdicción,['Colombia'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Vicepresidente de Colombia?,['Colombia'],['colombia']
Vicepresidente del Ecuador,aplica a la jurisdicción,['Ecuador'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Vicepresidente del Ecuador?,['Ecuador'],['ecuador']
Vicepresidente del Perú,aplica a la jurisdicción,['Perú'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica Vicepresidente del Perú?,['Perú'],['peru']
alcalde de Bogotá,aplica a la jurisdicción,['Bogotá'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica alcalde de Bogotá?,['Bogotá'],['colombia']
alcalde de Lima,aplica a la jurisdicción,['Lima'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica alcalde de Lima?,['Lima'],['peru']
alcalde de Miami,aplica a la jurisdicción,['Miami'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica alcalde de Miami?,['Miami'],['cuba']
alcalde de Trujillo,aplica a la jurisdicción,['Provincia de Trujillo'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica alcalde de Trujillo?,['Provincia de Trujillo'],['peru']
comandante en Jefe del Ejército de Chile,aplica a la jurisdicción,['Chile'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica comandante en Jefe del Ejército de Chile?,['Chile'],['argentina']
concejal de Ciudad del Este,aplica a la jurisdicción,['Ciudad del Este'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica concejal de Ciudad del Este?,['Ciudad del Este'],['paraguay']
concejal del Ayuntamiento de Lérida,aplica a la jurisdicción,['Lérida'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica concejal del Ayuntamiento de Lérida?,['Lérida'],['ecuador']
cónsul,aplica a la jurisdicción,['resto del mundo'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica cónsul?,['resto del mundo'],['nicaragua']
director supremo de Chile,aplica a la jurisdicción,['Chile'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica director supremo de Chile?,['Chile'],['chile']
gobernador del Departamento de San Salvador,aplica a la jurisdicción,['Departamento de San Salvador'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica gobernador del Departamento de San Salvador?,['Departamento de San Salvador'],['el_salvador']
gobernador regional de Arequipa,aplica a la jurisdicción,['Departamento de Arequipa'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica gobernador regional de Arequipa?,['Departamento de Arequipa'],['peru']
intendente de la Ciudad de Buenos Aires,aplica a la jurisdicción,['Buenos Aires'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica intendente de la Ciudad de Buenos Aires?,['Buenos Aires'],['argentina']
intendente municipal de Ciudad del Este,aplica a la jurisdicción,['Ciudad del Este'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica intendente municipal de Ciudad del Este?,['Ciudad del Este'],['paraguay']
jefe supremo del Estado de Guatemala,aplica a la jurisdicción,['Estado de Guatemala'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica jefe supremo del Estado de Guatemala?,['Estado de Guatemala'],['el_salvador']
presidente de Venezuela,aplica a la jurisdicción,['Venezuela'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica presidente de Venezuela?,['Venezuela'],['venezuela']
presidente de la Junta Nacional de Gobierno de Chile,aplica a la jurisdicción,['Chile'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica presidente de la Junta Nacional de Gobierno de Chile?,['Chile'],['chile']
primera dama o primer caballero de Costa Rica,aplica a la jurisdicción,['Costa Rica'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica primera dama o primer caballero de Costa Rica?,['Costa Rica'],['costa_rica']
relatoría especial de las Naciones Unidas,aplica a la jurisdicción,['Organización de las Naciones Unidas'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica relatoría especial de las Naciones Unidas?,['Organización de las Naciones Unidas'],['costa_rica']
virrey del Perú,aplica a la jurisdicción,['Virreinato del Perú'],Contesta la siguiente pregunta: ¿A qué jurisdicción aplica virrey del Perú?,['Virreinato del Perú'],['peru']
Cien años de soledad,movimiento,['realismo mágico'],Contesta la siguiente pregunta: ¿A qué movimiento pertenece Cien años de soledad?,['realismo mágico'],['colombia']
Díptico de Marilyn,movimiento,['arte pop'],Contesta la siguiente pregunta: ¿A qué movimiento pertenece Díptico de Marilyn?,['arte pop'],['usa']
El reino de este mundo,movimiento,['realismo mágico'],Contesta la siguiente pregunta: ¿A qué movimiento pertenece El reino de este mundo?,['realismo mágico'],['cuba']
La culpa es de los tlaxcaltecas,movimiento,['realismo mágico'],Contesta la siguiente pregunta: ¿A qué movimiento pertenece La culpa es de los tlaxcaltecas?,['realismo mágico'],['mexico']
Chicontepec,núcleo de población,['La Puerta'],Contesta la siguiente pregunta: ¿A qué núcleo de población pertenece Chicontepec?,['La Puerta'],['mexico']
Villaralbo,núcleo de población,['Villaralbo'],Contesta la siguiente pregunta: ¿A qué núcleo de población pertenece Villaralbo?,['Villaralbo'],['paraguay']
Liceo Javier,orden religiosa,['Compañía de Jesús'],Contesta la siguiente pregunta: ¿A qué orden religiosa pertenece Liceo Javier?,['Compañía de Jesús'],['guatemala']
Escuela Militar de Chorrillos,rama militar,['Ejército del Perú'],Contesta la siguiente pregunta: ¿A qué rama militar pertenece Escuela Militar de Chorrillos?,['Ejército del Perú'],['peru']
Escuela de Armas,rama militar,['Ejército Brasileño'],Contesta la siguiente pregunta: ¿A qué rama militar pertenece Escuela de Armas?,['Ejército Brasileño'],['paraguay']
Heroico Colegio Militar,rama militar,['Fuerzas Armadas de México'],Contesta la siguiente pregunta: ¿A qué rama militar pertenece Heroico Colegio Militar?,['Fuerzas Armadas de México'],['mexico']
Jefe del Estado Mayor General del Ejército,rama militar,['Ejército Argentino'],Contesta la siguiente pregunta: ¿A qué rama militar pertenece Jefe del Estado Mayor General del Ejército?,['Ejército Argentino'],['argentina']
Anexo:Oso de Plata a la mejor interpretación femenina,opuesto a,['Anexo:Oso de Plata a la mejor interpretación masculina'],Contesta la siguiente pregunta: ¿A qué se opone Anexo:Oso de Plata a la mejor interpretación femenina?,['Anexo:Oso de Plata a la mejor interpretación masculina'],['colombia']
Anexo:Premio Cóndor de Plata al mejor actor,opuesto a,['Anexo:Premio Cóndor de Plata a la mejor actriz'],Contesta la siguiente pregunta: ¿A qué se opone Anexo:Premio Cóndor de Plata al mejor actor?,['Anexo:Premio Cóndor de Plata a la mejor actriz'],['peru']
Premio Empire al mejor actor,opuesto a,['Anexo:Premio Empire a la mejor actriz'],Contesta la siguiente pregunta: ¿A qué se opone Premio Empire al mejor actor?,['Anexo:Premio Empire a la mejor actriz'],['usa']
activista por los derechos de las personas transgénero,opuesto a,['activista antitransgénero'],Contesta la siguiente pregunta: ¿A qué se opone activista por los derechos de las personas transgénero?,['activista antitransgénero'],['guatemala']
actor,opuesto a,['actriz'],Contesta la siguiente pregunta: ¿A qué se opone actor?,['actriz'],['panama']
defensa,opuesto a,['delantero'],Contesta la siguiente pregunta: ¿A qué se opone defensa?,['delantero'],['el_salvador']
embajador de Colombia,opuesto a,['embajador en Colombia'],Contesta la siguiente pregunta: ¿A qué se opone embajador de Colombia?,['embajador en Colombia'],['colombia']
embajador de Cuba,opuesto a,['embajador en Cuba'],Contesta la siguiente pregunta: ¿A qué se opone embajador de Cuba?,['embajador en Cuba'],['cuba']
embajador de Ecuador,opuesto a,['embajador en Ecuador'],Contesta la siguiente pregunta: ¿A qué se opone embajador de Ecuador?,['embajador en Ecuador'],['ecuador']
embajador en Canadá,opuesto a,['alto comisionado de Canadá'],Contesta la siguiente pregunta: ¿A qué se opone embajador en Canadá?,['alto comisionado de Canadá'],['guatemala']
embajador en España,opuesto a,['embajador de España'],Contesta la siguiente pregunta: ¿A qué se opone embajador en España?,['embajador de España'],['peru']
